X	Y	Z
468	482	16469
451	479	16458
429	490	16471
427	498	16480
429	498	16480
421	490	16487
413	497	16477
419	502	16466
438	502	16464
454	500	16472
456	507	16480
442	516	16479
445	503	16488
451	499	16498
451	509	16490
459	500	16481
448	498	16483
445	498	16467
441	494	16472
434	492	16500
423	488	16492
424	490	16471
437	503	16467
439	501	16481
434	488	16483
432	492	16458
436	501	16467
434	495	16485
441	493	16485
446	491	16484
438	493	16487
427	497	16481
428	500	16469
430	494	16477
415	492	16485
421	512	16488
448	512	16484
445	503	16481
433	497	16468
435	493	16469
437	495	16472
447	499	16466
448	496	16474
443	488	16477
452	484	16483
454	488	16473
451	483	16466
448	497	16466
444	507	16481
428	503	16501
427	505	16500
443	503	16494
443	511	16486
436	510	16482
427	505	16485
431	501	16485
437	504	16485
431	506	16494
433	493	16499
443	491	16479
436	495	16470
421	488	16482
422	485	16483
449	491	16481
456	492	16491
442	493	16503
453	496	16481
443	505	16464
425	513	16472
427	502	16471
432	504	16474
432	507	16471
428	492	16471
423	484	16486
424	480	16476
449	494	16457
446	506	16461
429	501	16471
438	495	16506
440	489	16502
438	496	16474
453	499	16471
452	509	16462
443	510	16446
428	494	16439
419	478	16456
424	484	16475
420	515	16483
443	523	16476
455	507	16471
445	493	16479
431	492	16483
423	496	16476
426	499	16469
428	496	16475
433	493	16486
438	493	16482
440	505	16455
434	497	16454
444	490	16481
452	505	16495
436	505	16495
423	499	16478
426	486	16481
429	486	16495
429	498	16491
433	499	16472
456	507	16469
456	500	16482
435	490	16482
433	503	16485
430	497	16474
436	506	16467
445	508	16464
437	495	16463
422	493	16497
434	500	16486
443	507	16458
447	505	16483
452	499	16490
436	494	16475
434	495	16475
435	503	16467
437	514	16475
443	506	16485
432	494	16479
447	495	16480
457	505	16469
457	506	16470
455	500	16486
451	504	16542
432	500	16508
424	514	16418
428	495	16412
419	484	16393
425	518	16449
428	492	16551
443	484	16588
444	492	16571
431	475	16518
444	483	16461
443	499	16417
420	497	16425
403	510	16459
403	505	16476
427	491	16496
437	490	16506
444	492	16505
453	500	16512
442	495	16499
433	496	16476
439	494	16480
441	492	16491
438	502	16484
435	515	16464
434	513	16457
438	503	16462
448	493	16468
452	473	16494
467	480	16509
472	493	16492
458	493	16476
448	508	16463
437	525	16410
445	511	16434
438	481	16520
445	510	16507
444	524	16546
420	492	16534
437	492	16445
443	489	16429
445	494	16427
444	510	16449
432	503	16479
447	520	16501
454	521	16510
434	491	16500
443	493	16486
437	495	16472
431	486	16472
434	485	16462
424	490	16459
435	501	16495
446	502	16489
444	498	16478
433	487	16486
424	482	16476
433	498	16469
454	506	16467
442	507	16471
430	509	16486
430	498	16493
433	487	16477
444	489	16468
435	497	16463
436	501	16474
442	507	16492
436	510	16496
437	503	16497
452	513	16483
452	515	16472
442	494	16466
460	492	16452
472	494	16448
450	498	16464
444	493	16468
446	490	16470
434	512	16490
440	514	16486
455	500	16469
457	494	16449
450	492	16444
438	493	16457
428	485	16469
419	495	16490
416	504	16513
425	500	16516
419	503	16506
431	506	16493
449	504	16485
435	499	16480
441	501	16481
456	487	16469
441	481	16455
444	498	16460
441	497	16463
421	498	16484
423	498	16501
428	495	16496
429	503	16483
420	498	16484
419	502	16481
438	513	16475
449	503	16489
439	495	16480
425	499	16464
440	506	16466
447	504	16476
446	492	16481
455	487	16476
451	504	16483
430	513	16486
430	493	16467
453	480	16463
455	493	16478
452	501	16474
448	499	16465
445	509	16459
446	519	16466
450	510	16478
448	493	16479
438	478	16466
440	486	16455
450	485	16467
450	477	16486
433	488	16494
426	495	16478
437	499	16477
443	493	16480
446	488	16475
444	488	16479
437	484	16476
432	499	16469
437	508	16476
447	510	16493
